日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价（期货）,保证金,当日盈亏,今手数,盈亏占比,仓位占比
2019-01-02,股票,深康佳A(000016.XSHE),多,3000股,0股,3.26,9780,60,3.24,-,0,60,3000股,0.62%,97534,10.03%
2019-01-02,股票,华菱钢铁(000932.XSHE),多,1600股,0股,5.83,9328,-400,6.08,-,0,-400,1600股,-4.11%,97534,9.56%
2019-01-02,股票,新钢股份(600782.XSHG),多,1900股,0股,4.98,9462,-228,5.1,-,0,-228,1900股,-2.35%,97534,9.7%
2019-01-02,股票,韶钢松山(000717.XSHE),多,2100股,0股,4.47,9387,-231,4.58,-,0,-231,2100股,-2.4%,97534,9.62%
2019-01-02,股票,长园集团(600525.XSHG),多,2300股,0股,4.07,9361,-644,4.35,-,0,-644,2300股,-6.44%,97534,9.6%
2019-01-02,股票,南钢股份(600282.XSHG),多,2900股,0股,3.34,9686,-261,3.43,-,0,-261,2900股,-2.62%,97534,9.93%
2019-01-02,股票,光明地产(600708.XSHG),多,2800股,0股,3.45,9660,-140,3.5,-,0,-140,2800股,-1.43%,97534,9.9%
2019-01-02,股票,安阳钢铁(600569.XSHG),多,3200股,0股,3.02,9664,-64,3.04,-,0,-64,3200股,-0.66%,97534,9.91%
2019-01-02,股票,兰州民百(600738.XSHG),多,1700股,0股,5.44,9248,-221,5.57,-,0,-221,1700股,-2.33%,97534,9.48%
2019-01-02,股票,三钢闽光(002110.XSHE),多,700股,0股,12.43,8701,-287,12.84,-,0,-287,700股,-3.19%,97534,8.92%
2019-01-02,,Cash,,,,,3257,,,,,,,,0
2019-01-03,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.22,9660,-60,3.24,-,0,-120,0股,-0.62%,97583,9.9%
2019-01-03,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6,9600,-128,6.08,-,0,272,0股,-1.32%,97583,9.84%
2019-01-03,股票,新钢股份(600782.XSHG),多,1900股,1900股,4.99,9481,-209,5.1,-,0,19,0股,-2.16%,97583,9.72%
2019-01-03,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.53,9513,-105,4.58,-,0,126,0股,-1.09%,97583,9.75%
2019-01-03,股票,长园集团(600525.XSHG),多,2300股,2300股,4.07,9361,-644,4.35,-,0,0,0股,-6.44%,97583,9.59%
2019-01-03,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.36,9744,-203,3.43,-,0,58,0股,-2.04%,97583,9.99%
2019-01-03,股票,光明地产(600708.XSHG),多,2800股,2800股,3.42,9576,-224,3.5,-,0,-84,0股,-2.29%,97583,9.81%
2019-01-03,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.05,9760,32,3.04,-,0,96,0股,0.33%,97583,10%
2019-01-03,股票,兰州民百(600738.XSHG),多,1700股,1700股,5.22,8874,-595,5.57,-,0,-374,0股,-6.28%,97583,9.09%
2019-01-03,股票,三钢闽光(002110.XSHE),多,700股,700股,12.51,8757,-231,12.84,-,0,56,0股,-2.57%,97583,8.97%
2019-01-03,,Cash,,,,,3257,,,,,,,,0
2019-01-04,股票,深康佳A(000016.XSHE),多,3000股,3000股,3.32,9960,240,3.24,-,0,300,0股,2.47%,100035,9.96%
2019-01-04,股票,华菱钢铁(000932.XSHE),多,1600股,1600股,6.12,9792,64,6.08,-,0,192,0股,0.66%,100035,9.79%
2019-01-04,股票,新钢股份(600782.XSHG),多,1900股,1900股,5.06,9614,-76,5.1,-,0,133,0股,-0.78%,100035,9.61%
2019-01-04,股票,韶钢松山(000717.XSHE),多,2100股,2100股,4.65,9765,147,4.58,-,0,252,0股,1.53%,100035,9.76%
2019-01-04,股票,长园集团(600525.XSHG),多,2300股,2300股,4.31,9913,-92,4.35,-,0,552,0股,-0.92%,100035,9.91%
2019-01-04,股票,南钢股份(600282.XSHG),多,2900股,2900股,3.42,9918,-29,3.43,-,0,174,0股,-0.29%,100035,9.91%
2019-01-04,股票,光明地产(600708.XSHG),多,2800股,2800股,3.51,9828,28,3.5,-,0,252,0股,0.29%,100035,9.82%
2019-01-04,股票,安阳钢铁(600569.XSHG),多,3200股,3200股,3.11,9952,224,3.04,-,0,192,0股,2.3%,100035,9.95%
2019-01-04,股票,兰州民百(600738.XSHG),多,1700股,1700股,5.38,9146,-323,5.57,-,0,272,0股,-3.41%,100035,9.14%
2019-01-04,股票,三钢闽光(002110.XSHE),多,700股,700股,12.7,8890,-98,12.84,-,0,133,0股,-1.09%,100035,8.89%
2019-01-04,,Cash,,,,,3257,,,,,,,,0
